"method"	"final_n"	"changepoint"	"total_number_found"	"diff_real"	"method_f"	"n2_init"	"target_cpt"
"1"	"Regular"	6	16	"4"	8	"Regular"	5	"1"
"2"	"Random"	6	20	"4"	12	"Random"	5	"1"
"3"	"Iterative"	6	10	"4"	2	"Iterative"	5	"1"
"4"	"Iterative"	8	8	"6"	0	"Iterative"	6	"1"
"5"	"Iterative"	10	38	"7"	30	"Iterative"	7	"1"
"6"	"Regular"	7	13	"5"	5	"Regular"	5	"1"
"7"	"Random"	7	33	"4"	25	"Random"	5	"1"
"8"	"Iterative"	7	10	"5"	2	"Iterative"	5	"1"
"9"	"Iterative"	7	8	"5"	0	"Iterative"	6	"1"
"10"	"Iterative"	9	7	"7"	-1	"Iterative"	7	"1"
"11"	"Regular"	8	43	"6"	35	"Regular"	5	"1"
"12"	"Random"	8	31	"6"	23	"Random"	5	"1"
"13"	"Iterative"	8	8	"3"	0	"Iterative"	5	"1"
"14"	"Iterative"	8	8	"6"	0	"Iterative"	6	"1"
"15"	"Iterative"	8	38	"6"	30	"Iterative"	7	"1"
"16"	"Regular"	9	10	"7"	2	"Regular"	5	"1"
"17"	"Random"	9	26	"6"	18	"Random"	5	"1"
"18"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"19"	"Iterative"	9	8	"5"	0	"Iterative"	6	"1"
"20"	"Iterative"	9	7	"7"	-1	"Iterative"	7	"1"
"21"	"Regular"	10	9	"8"	1	"Regular"	5	"1"
"22"	"Random"	10	9	"7"	1	"Random"	5	"1"
"23"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"24"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"25"	"Iterative"	10	38	"7"	30	"Iterative"	7	"1"
"26"	"Regular"	11	8	"9"	0	"Regular"	5	"1"
"27"	"Random"	11	13	"8"	5	"Random"	5	"1"
"28"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"29"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"30"	"Iterative"	11	7	"7"	-1	"Iterative"	7	"1"
"31"	"Regular"	12	8	"10"	0	"Regular"	5	"1"
"32"	"Random"	12	28	"6"	20	"Random"	5	"1"
"33"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"34"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"35"	"Iterative"	12	13	"7"	5	"Iterative"	7	"1"
"36"	"Regular"	13	7	"11"	-1	"Regular"	5	"1"
"37"	"Random"	13	7	"8"	-1	"Random"	5	"1"
"38"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"39"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"40"	"Iterative"	13	10	"7"	2	"Iterative"	7	"1"
"41"	"Regular"	14	7	"12"	-1	"Regular"	5	"1"
"42"	"Random"	14	8	"9"	0	"Random"	5	"1"
"43"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"44"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"45"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"46"	"Regular"	15	11	"13"	3	"Regular"	5	"1"
"47"	"Random"	15	10	"8"	2	"Random"	5	"1"
"48"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"49"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"50"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"51"	"Regular"	16	11	"14"	3	"Regular"	5	"1"
"52"	"Random"	16	8	"4"	0	"Random"	5	"1"
"53"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"54"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"55"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"56"	"Regular"	17	10	"15"	2	"Regular"	5	"1"
"57"	"Random"	17	13	"5"	5	"Random"	5	"1"
"58"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"59"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"60"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"61"	"Regular"	18	10	"3"	2	"Regular"	5	"1"
"62"	"Random"	18	9	"5"	1	"Random"	5	"1"
"63"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"64"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"65"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"66"	"Regular"	19	9	"17"	1	"Regular"	5	"1"
"67"	"Random"	19	8	"7"	0	"Random"	5	"1"
"68"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"69"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"70"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
