"method"	"final_n"	"changepoint"	"total_number_found"	"diff_real"	"method_f"	"n2_init"	"target_cpt"
"1"	"Regular"	5	19	"3"	-5	"Regular"	5	"1"
"2"	"Random"	5	12	"3"	-12	"Random"	5	"1"
"3"	"Iterative"	5	19	"3"	-5	"Iterative"	5	"1"
"4"	"Iterative"	6	16	"4"	-8	"Iterative"	6	"1"
"5"	"Iterative"	7	13	"5"	-11	"Iterative"	7	"1"
"6"	"Regular"	6	16	"4"	-8	"Regular"	5	"1"
"7"	"Random"	6	44	"3"	20	"Random"	5	"1"
"8"	"Iterative"	6	10	"4"	-14	"Iterative"	5	"1"
"9"	"Iterative"	6	16	"4"	-8	"Iterative"	6	"1"
"10"	"Iterative"	7	13	"5"	-11	"Iterative"	7	"1"
"11"	"Regular"	7	13	"5"	-11	"Regular"	5	"1"
"12"	"Random"	7	17	"5"	-7	"Random"	5	"1"
"13"	"Iterative"	7	38	"5"	14	"Iterative"	5	"1"
"14"	"Iterative"	7	30	"5"	6	"Iterative"	6	"1"
"15"	"Iterative"	7	13	"5"	-11	"Iterative"	7	"1"
"16"	"Regular"	8	11	"6"	-13	"Regular"	5	"1"
"17"	"Random"	8	33	"5"	9	"Random"	5	"1"
"18"	"Iterative"	8	28	"6"	4	"Iterative"	5	"1"
"19"	"Iterative"	8	30	"6"	6	"Iterative"	6	"1"
"20"	"Iterative"	8	13	"6"	-11	"Iterative"	7	"1"
"21"	"Regular"	9	10	"7"	-14	"Regular"	5	"1"
"22"	"Random"	9	11	"4"	-13	"Random"	5	"1"
"23"	"Iterative"	9	24	"7"	0	"Iterative"	5	"1"
"24"	"Iterative"	9	26	"7"	2	"Iterative"	6	"1"
"25"	"Iterative"	9	25	"7"	1	"Iterative"	7	"1"
"26"	"Regular"	10	25	"8"	1	"Regular"	5	"1"
"27"	"Random"	10	18	"7"	-6	"Random"	5	"1"
"28"	"Iterative"	10	24	"5"	0	"Iterative"	5	"1"
"29"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"30"	"Iterative"	10	10	"8"	-14	"Iterative"	7	"1"
"31"	"Regular"	11	30	"9"	6	"Regular"	5	"1"
"32"	"Random"	11	21	"6"	-3	"Random"	5	"1"
"33"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"34"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"35"	"Iterative"	11	25	"8"	1	"Iterative"	7	"1"
"36"	"Regular"	12	28	"10"	4	"Regular"	5	"1"
"37"	"Random"	12	12	"6"	-12	"Random"	5	"1"
"38"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"39"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"40"	"Iterative"	12	25	"5"	1	"Iterative"	7	"1"
"41"	"Regular"	13	13	"11"	-11	"Regular"	5	"1"
"42"	"Random"	13	32	"5"	8	"Random"	5	"1"
"43"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"44"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"45"	"Iterative"	13	24	"5"	0	"Iterative"	7	"1"
"46"	"Regular"	14	18	"12"	-6	"Regular"	5	"1"
"47"	"Random"	14	24	"7"	0	"Random"	5	"1"
"48"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"49"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"50"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"51"	"Regular"	15	27	"13"	3	"Regular"	5	"1"
"52"	"Random"	15	12	"11"	-12	"Random"	5	"1"
"53"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"54"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"55"	"Iterative"	14	24	"5"	0	"Iterative"	7	"1"
"56"	"Regular"	16	25	"14"	1	"Regular"	5	"1"
"57"	"Random"	16	25	"9"	1	"Random"	5	"1"
"58"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"59"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"60"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"61"	"Regular"	17	24	"15"	0	"Regular"	5	"1"
"62"	"Random"	17	11	"4"	-13	"Random"	5	"1"
"63"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"64"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"65"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"66"	"Regular"	18	27	"16"	3	"Regular"	5	"1"
"67"	"Random"	18	29	"8"	5	"Random"	5	"1"
"68"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"69"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"70"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"71"	"Regular"	19	25	"11"	1	"Regular"	5	"1"
"72"	"Random"	19	13	"11"	-11	"Random"	5	"1"
"73"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"74"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"75"	"Iterative"	14	24	"5"	0	"Iterative"	7	"1"
"76"	"Regular"	20	24	"12"	0	"Regular"	5	"1"
"77"	"Random"	20	12	"12"	-12	"Random"	5	"1"
"78"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"79"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"80"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"81"	"Regular"	21	27	"6"	3	"Regular"	5	"1"
"82"	"Random"	21	24	"8"	0	"Random"	5	"1"
"83"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"84"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"85"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"86"	"Regular"	22	25	"5"	1	"Regular"	5	"1"
"87"	"Random"	22	24	"9"	0	"Random"	5	"1"
"88"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"89"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"90"	"Iterative"	14	24	"5"	0	"Iterative"	7	"1"
"91"	"Regular"	23	24	"5"	0	"Regular"	5	"1"
"92"	"Random"	23	25	"5"	1	"Random"	5	"1"
"93"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"94"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"95"	"Iterative"	14	24	"4"	0	"Iterative"	7	"1"
"96"	"Regular"	24	11	"5"	-13	"Regular"	5	"1"
"97"	"Random"	24	10	"5"	-14	"Random"	5	"1"
"98"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"99"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"100"	"Iterative"	14	24	"4"	0	"Iterative"	7	"1"
"101"	"Regular"	25	10	"8"	-14	"Regular"	5	"1"
"102"	"Random"	25	26	"7"	2	"Random"	5	"1"
"103"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"104"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"105"	"Iterative"	14	24	"4"	0	"Iterative"	7	"1"
"106"	"Regular"	26	10	"8"	-14	"Regular"	5	"1"
"107"	"Random"	26	36	"11"	12	"Random"	5	"1"
"108"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"109"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"110"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"111"	"Regular"	27	9	"7"	-15	"Regular"	5	"1"
"112"	"Random"	27	25	"8"	1	"Random"	5	"1"
"113"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"114"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"115"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
"116"	"Regular"	28	25	"6"	1	"Regular"	5	"1"
"117"	"Random"	28	12	"9"	-12	"Random"	5	"1"
"118"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"119"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"120"	"Iterative"	14	24	"5"	0	"Iterative"	7	"1"
"121"	"Regular"	29	24	"4"	0	"Regular"	5	"1"
"122"	"Random"	29	24	"4"	0	"Random"	5	"1"
"123"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"124"	"Iterative"	10	24	"6"	0	"Iterative"	6	"1"
"125"	"Iterative"	14	24	"4"	0	"Iterative"	7	"1"
"126"	"Regular"	30	24	"3"	0	"Regular"	5	"1"
"127"	"Random"	30	10	"6"	-14	"Random"	5	"1"
"128"	"Iterative"	11	24	"6"	0	"Iterative"	5	"1"
"129"	"Iterative"	10	24	"5"	0	"Iterative"	6	"1"
"130"	"Iterative"	14	24	"7"	0	"Iterative"	7	"1"
