"index"	"x"	"n"	"age"
"1"	1	2.46705310642861	5	2008
"2"	19	0.223484568150204	5	1957
"3"	38	0.133560934038538	5	1915
"4"	56	0.00740410818578805	5	1876
"5"	74	4.50212862157719e-18	5	1837
"6"	1	2.60806408198666	6	2008
"7"	10	-1.39571145944188e-17	6	1978
"8"	19	0.131072973686438	6	1957
"9"	38	0.168990106007853	6	1915
"10"	56	0.0428734163906457	6	1876
"11"	74	0.0299616271540497	6	1837
"12"	1	2.232122854004	7	2008
"13"	6	1.7719508259117	7	1991
"14"	10	-3.72189722517833e-17	7	1978
"15"	19	0.00176791226618571	7	1957
"16"	38	0.511681967676854	7	1915
"17"	56	0.424796665224255	7	1876
"18"	74	0.426720244016271	7	1837
"19"	1	2.25653744021828	8	2008
"20"	6	1.75779887820111	8	1991
"21"	8	0.216785429413162	8	1983
"22"	10	3.72189722517833e-17	8	1978
"23"	19	0.0343664497522726	8	1957
"24"	38	0.438925870424255	8	1915
"25"	56	0.346543553105684	8	1876
"26"	74	0.346756758270842	8	1837
"27"	1	2.17792414573141	9	2008
"28"	6	1.70942286666272	9	1991
"29"	7	1.16801121951463	9	1988
"30"	8	0.270556615709536	9	1983
"31"	10	0.0176319177434362	9	1978
"32"	19	0	9	1957
"33"	38	0.556348294726856	9	1915
"34"	56	0.470325206519583	9	1876
"35"	74	0.47656114378394	9	1837
"36"	1	2.17792414573141	10	2008
"37"	6	1.70942286666272	10	1991
"38"	7	1.16801121951463	10	1988
"39"	8	0.270556615709536	10	1983
"40"	10	0.0176319177434362	10	1978
"41"	19	0	10	1957
"42"	38	0.556348294726856	10	1915
"43"	56	0.470325206519583	10	1876
"44"	74	0.47656114378394	10	1837
"45"	1	2.17792414573141	11	2008
"46"	6	1.70942286666272	11	1991
"47"	7	1.16801121951463	11	1988
"48"	8	0.270556615709536	11	1983
"49"	10	0.0176319177434362	11	1978
"50"	19	0	11	1957
"51"	38	0.556348294726856	11	1915
"52"	56	0.470325206519583	11	1876
"53"	74	0.47656114378394	11	1837
"54"	1	2.17792414573141	12	2008
"55"	6	1.70942286666272	12	1991
"56"	7	1.16801121951463	12	1988
"57"	8	0.270556615709536	12	1983
"58"	10	0.0176319177434362	12	1978
"59"	19	0	12	1957
"60"	38	0.556348294726856	12	1915
"61"	56	0.470325206519583	12	1876
"62"	74	0.47656114378394	12	1837
