,sigma_vec,phi_vec,shift_size_vec,power
1,0.01,-0.8,0.1,1
2,0.06,-0.8,0.1,0.3
3,0.11,-0.8,0.1,0.2
4,0.16,-0.8,0.1,0.1
5,0.21,-0.8,0.1,0
6,0.26,-0.8,0.1,0.15
7,0.01,-0.4,0.1,1
8,0.06,-0.4,0.1,0.6
9,0.11,-0.4,0.1,0.3
10,0.16,-0.4,0.1,0.2
11,0.21,-0.4,0.1,0.05
12,0.26,-0.4,0.1,0.15
13,0.01,0,0.1,1
14,0.06,0,0.1,0.55
15,0.11,0,0.1,0.2
16,0.16,0,0.1,0.05
17,0.21,0,0.1,0.1
18,0.26,0,0.1,0.2
19,0.01,0.4,0.1,1
20,0.06,0.4,0.1,0.45
21,0.11,0.4,0.1,0.3
22,0.16,0.4,0.1,0.1
23,0.21,0.4,0.1,0.3
24,0.26,0.4,0.1,0.3
25,0.01,0.8,0.1,1
26,0.06,0.8,0.1,0.35
27,0.11,0.8,0.1,0.05
28,0.16,0.8,0.1,0.2
29,0.21,0.8,0.1,0.1
30,0.26,0.8,0.1,0
31,0.01,-0.8,0.4,1
32,0.06,-0.8,0.4,1
33,0.11,-0.8,0.4,0.6
34,0.16,-0.8,0.4,0.55
35,0.21,-0.8,0.4,0.3
36,0.26,-0.8,0.4,0.4
37,0.01,-0.4,0.4,1
38,0.06,-0.4,0.4,1
39,0.11,-0.4,0.4,0.85
40,0.16,-0.4,0.4,0.7
41,0.21,-0.4,0.4,0.55
42,0.26,-0.4,0.4,0.6
43,0.01,0,0.4,1
44,0.06,0,0.4,1
45,0.11,0,0.4,0.95
46,0.16,0,0.4,0.85
47,0.21,0,0.4,0.65
48,0.26,0,0.4,0.55
49,0.01,0.4,0.4,1
50,0.06,0.4,0.4,1
51,0.11,0.4,0.4,0.85
52,0.16,0.4,0.4,0.8
53,0.21,0.4,0.4,0.45
54,0.26,0.4,0.4,0.5
55,0.01,0.8,0.4,1
56,0.06,0.8,0.4,1
57,0.11,0.8,0.4,0.75
58,0.16,0.8,0.4,0.3
59,0.21,0.8,0.4,0.5
60,0.26,0.8,0.4,0.45
61,0.01,-0.8,0.8,1
62,0.06,-0.8,0.8,1
63,0.11,-0.8,0.8,1
64,0.16,-0.8,0.8,1
65,0.21,-0.8,0.8,1
66,0.26,-0.8,0.8,0.55
67,0.01,-0.4,0.8,1
68,0.06,-0.4,0.8,1
69,0.11,-0.4,0.8,1
70,0.16,-0.4,0.8,1
71,0.21,-0.4,0.8,1
72,0.26,-0.4,0.8,0.95
73,0.01,0,0.8,1
74,0.06,0,0.8,1
75,0.11,0,0.8,1
76,0.16,0,0.8,1
77,0.21,0,0.8,0.95
78,0.26,0,0.8,0.85
79,0.01,0.4,0.8,1
80,0.06,0.4,0.8,1
81,0.11,0.4,0.8,1
82,0.16,0.4,0.8,1
83,0.21,0.4,0.8,0.95
84,0.26,0.4,0.8,0.9
85,0.01,0.8,0.8,1
86,0.06,0.8,0.8,1
87,0.11,0.8,0.8,0.95
88,0.16,0.8,0.8,1
89,0.21,0.8,0.8,0.8
90,0.26,0.8,0.8,0.8
