,approach,number_samples,simulation_number,distance_to_real
1,Random,5,1,7
2,Regular,5,1,15
3,Iterative,5,1,15
4,Random,7,1,2
5,Regular,7,1,7
6,Iterative,7,1,2
7,Random,9,1,9
8,Regular,9,1,3
9,Iterative,9,1,0
10,Random,11,1,1
11,Regular,11,1,0
12,Iterative,11,1,0
13,Random,13,1,6
14,Regular,13,1,7
15,Iterative,13,1,0
16,Random,15,1,11
17,Regular,15,1,5
18,Iterative,15,1,0
19,Random,17,1,7
20,Regular,17,1,3
21,Iterative,17,1,0
22,Random,19,1,6
23,Regular,19,1,2
24,Iterative,19,1,0
25,Random,25,1,9
26,Regular,25,1,3
27,Iterative,25,1,0
28,Random,30,1,1
29,Regular,30,1,2
30,Iterative,30,1,0
31,Random,35,1,5
32,Regular,35,1,2
33,Iterative,35,1,0
34,Random,5,2,27
35,Regular,5,2,13
36,Iterative,5,2,13
37,Random,7,2,13
38,Regular,7,2,5
39,Iterative,7,2,6
40,Random,9,2,5
41,Regular,9,2,1
42,Iterative,9,2,2
43,Random,11,2,1
44,Regular,11,2,8
45,Iterative,11,2,1
46,Random,13,2,1
47,Regular,13,2,5
48,Iterative,13,2,1
49,Random,15,2,9
50,Regular,15,2,3
51,Iterative,15,2,1
52,Random,17,2,3
53,Regular,17,2,1
54,Iterative,17,2,1
55,Random,19,2,5
56,Regular,19,2,5
57,Iterative,19,2,1
58,Random,25,2,8
59,Regular,25,2,1
60,Iterative,25,2,1
61,Random,30,2,1
62,Regular,30,2,4
63,Iterative,30,2,1
64,Random,35,2,1
65,Regular,35,2,3
66,Iterative,35,2,1
67,Random,5,3,3
68,Regular,5,3,3
69,Iterative,5,3,3
70,Random,7,3,4
71,Regular,7,3,3
72,Iterative,7,3,3
73,Random,9,3,6
74,Regular,9,3,3
75,Iterative,9,3,0
76,Random,11,3,0
77,Regular,11,3,3
78,Iterative,11,3,0
79,Random,13,3,7
80,Regular,13,3,3
81,Iterative,13,3,0
82,Random,15,3,4
83,Regular,15,3,3
84,Iterative,15,3,0
85,Random,17,3,1
86,Regular,17,3,3
87,Iterative,17,3,0
88,Random,19,3,7
89,Regular,19,3,3
90,Iterative,19,3,0
91,Random,25,3,8
92,Regular,25,3,3
93,Iterative,25,3,0
94,Random,30,3,2
95,Regular,30,3,2
96,Iterative,30,3,0
97,Random,35,3,5
98,Regular,35,3,1
99,Iterative,35,3,0
100,Random,5,4,25
101,Regular,5,4,20
102,Iterative,5,4,20
103,Random,7,4,3
104,Regular,7,4,4
105,Iterative,7,4,2
106,Random,9,4,6
107,Regular,9,4,8
108,Iterative,9,4,0
109,Random,11,4,3
110,Regular,11,4,1
111,Iterative,11,4,0
112,Random,13,4,15
113,Regular,13,4,4
114,Iterative,13,4,0
115,Random,15,4,0
116,Regular,15,4,6
117,Iterative,15,4,0
118,Random,17,4,15
119,Regular,17,4,2
120,Iterative,17,4,0
121,Random,19,4,7
122,Regular,19,4,4
123,Iterative,19,4,0
124,Random,25,4,2
125,Regular,25,4,0
126,Iterative,25,4,0
127,Random,30,4,0
128,Regular,30,4,2
129,Iterative,30,4,0
130,Random,35,4,0
131,Regular,35,4,0
132,Iterative,35,4,0
133,Random,5,5,6
134,Regular,5,5,10
135,Iterative,5,5,10
136,Random,7,5,12
137,Regular,7,5,2
138,Iterative,7,5,3
139,Random,9,5,3
140,Regular,9,5,10
141,Iterative,9,5,1
142,Random,11,5,1
143,Regular,11,5,5
144,Iterative,11,5,1
145,Random,13,5,26
146,Regular,13,5,2
147,Iterative,13,5,1
148,Random,15,5,4
149,Regular,15,5,0
150,Iterative,15,5,1
151,Random,17,5,5
152,Regular,17,5,4
153,Iterative,17,5,1
154,Random,19,5,2
155,Regular,19,5,2
156,Iterative,19,5,1
157,Random,25,5,5
158,Regular,25,5,2
159,Iterative,25,5,1
160,Random,30,5,6
161,Regular,30,5,1
162,Iterative,30,5,1
163,Random,35,5,2
164,Regular,35,5,3
165,Iterative,35,5,1
166,Random,5,6,4
167,Regular,5,6,20
168,Iterative,5,6,20
169,Random,7,6,5
170,Regular,7,6,12
171,Iterative,7,6,1
172,Random,9,6,26
173,Regular,9,6,8
174,Iterative,9,6,1
175,Random,11,6,22
176,Regular,11,6,5
177,Iterative,11,6,0
178,Random,13,6,6
179,Regular,13,6,4
180,Iterative,13,6,0
181,Random,15,6,13
182,Regular,15,6,3
183,Iterative,15,6,0
184,Random,17,6,2
185,Regular,17,6,2
186,Iterative,17,6,0
187,Random,19,6,4
188,Regular,19,6,1
189,Iterative,19,6,0
190,Random,25,6,6
191,Regular,25,6,0
192,Iterative,25,6,0
193,Random,30,6,2
194,Regular,30,6,1
195,Iterative,30,6,0
196,Random,35,6,2
197,Regular,35,6,1
198,Iterative,35,6,0
199,Random,5,7,10
200,Regular,5,7,10
201,Iterative,5,7,10
202,Random,7,7,17
203,Regular,7,7,2
204,Iterative,7,7,3
205,Random,9,7,14
206,Regular,9,7,10
207,Iterative,9,7,1
208,Random,11,7,10
209,Regular,11,7,5
210,Iterative,11,7,1
211,Random,13,7,25
212,Regular,13,7,2
213,Iterative,13,7,1
214,Random,15,7,4
215,Regular,15,7,7
216,Iterative,15,7,1
217,Random,17,7,10
218,Regular,17,7,4
219,Iterative,17,7,1
220,Random,19,7,6
221,Regular,19,7,2
222,Iterative,19,7,1
223,Random,25,7,1
224,Regular,25,7,2
225,Iterative,25,7,1
226,Random,30,7,5
227,Regular,30,7,1
228,Iterative,30,7,1
229,Random,35,7,5
